video_id,title,channel_title,published_at,views,likes,comments,engagement_score
wLkO_xTeQxc,"Cheez Badi Song | Neha Kakkar, Udit Narayan | Tanishk B, Viju Sh | Anand B, Shabbir A | Machine",Khalid Siyam,2026-05-27 12:17:00+00:00,174897,1096,7,1103
yCLwk1WaXvI,Ghabadkund | घबाडकुंड |Official Trailer | Sandeep P | Devdatta N |Kushal B | Pritam Patil |19th June,Rajshri Marathi,2026-06-01 12:30:14+00:00,89337,3648,416,4064
QMxFeLJe4p4,Anzu Senpai Plays Granny Live #shortslive #granny #shorts #shortsfeed,ANZU SENPAI,2026-06-02 09:35:40+00:00,663146,2659,8,2667
LLoOe825fz4,O Chhaila Babu Tu Kal Phir Aana,Bhagwat Suthar - Topic,2026-05-30 12:30:35+00:00,169286,1497,0,1497
fTlYft_WraU,CHUPA CHUPI Official Trailer | In Cinemas June12 | Pranab Bharali |Atlas Creation | DJ Entertainment,Atlas Creation,2026-05-31 12:35:06+00:00,139292,8366,574,8940
gzTRqfLGnQY,🔴[Live Free Fire New Rank Season Rank Push Live !!,VISHNU RAJPUT GAMING,2026-06-02 12:10:25+00:00,368176,8521,6,8527
UjeJxCAu2c4,#Video | Aawa Raja Patna | Dharamveer Singh & #Khushi Kakkar | आवा राजा पटना | New #Bhojpuri Song,Dharamveer Singh Official,2026-05-31 01:00:10+00:00,228164,2742,60,2802
7jTsC28z9PY,Doomsday & Spider-Man Trailers confirmed? - RoastVerse 171,ComicVerse,2026-05-31 08:34:22+00:00,438694,22887,489,23376
MSzQ8rQQhDs,PRO GHOST HUNTERS IN PHASMOPHOBIA 😱,NotGamerFleet,2026-06-02 08:35:17+00:00,353139,34794,3306,38100
WmFm7-lNq9I,"Junoon (Official Video) - Khan Bhaini, Gurlez Akhtar, Raj Shoker, Guri N | New Punjabi Songs 2026",Khan Bhaini,2026-05-30 06:27:32+00:00,1465486,30620,1065,31685
wob0NDMQqGY,Save The Tigers 3 | Hotstar Specials | Official Trailer | June 19 | JioHotstar,JioHotstar Telugu,2026-05-30 11:48:45+00:00,914753,13342,164,13506
3C0epHmMYXg,PLAYING AS KAMLA IN NANIMA INDIAN HORROR GAME || KAMLA VS NANIMA FULL VIDEO,ANADHIKA GAMING,2026-06-02 04:30:01+00:00,155825,2020,390,2410
G67Oz43fxe4,Thari Bhabhi Hove Naraj Maine Pini Chod di | Raju Punjabi Song | New Haryanvi Song 2026 | Haryanvi,Braveheart Music,2026-05-29 07:51:24+00:00,175031,572,3,575
Pjt-P9aCd6E,Cocktail 2 Trailer REACTION | Suraj Kumar,Suraj Kumar Reacts,2026-06-02 10:39:21+00:00,28373,1852,179,2031
imrsaCM3zzs,A GAME FULL OF BRAINROT | Scary Game 2 Mad Shepherd,BeastBoyShub,2026-06-02 04:37:19+00:00,313914,29084,1604,30688
DopofLS0ikY,"#4KVideo Song | बेलना से मारलको सजना | #Ashish_Yadav, Srishti Bharti का सुपरहिट गाना New Maghi 2026",Sambhu Entertainment Maghi,2026-05-31 01:00:07+00:00,435912,17261,534,17795
nXkrM9Vs0UA,ଛକି ଶୂନ | Chhaki Suna Teaser 2 | Odia Movie | Anubhav Mohanty | Divya | Sambhabana | Abhishek,Amara Muzik Odia,2026-05-31 10:30:06+00:00,112834,6989,624,7613
